starttime	seconds	ctime	dtime	ttime	wait
Wed Jun 26 15:32:48 2013	1372253568	0	285	285	285
Wed Jun 26 15:33:07 2013	1372253587	0	286	286	286
Wed Jun 26 15:33:09 2013	1372253589	0	287	287	287
Wed Jun 26 15:32:56 2013	1372253576	0	287	287	287
Wed Jun 26 15:33:02 2013	1372253582	0	287	287	287
Wed Jun 26 15:33:14 2013	1372253594	0	288	288	288
Wed Jun 26 15:33:12 2013	1372253592	0	288	288	288
Wed Jun 26 15:32:53 2013	1372253573	0	288	288	288
Wed Jun 26 15:32:55 2013	1372253575	0	289	289	289
Wed Jun 26 15:33:08 2013	1372253588	0	289	289	289
Wed Jun 26 15:32:50 2013	1372253570	0	289	289	289
Wed Jun 26 15:33:03 2013	1372253583	0	290	290	290
Wed Jun 26 15:33:01 2013	1372253581	0	290	290	290
Wed Jun 26 15:32:54 2013	1372253574	0	291	291	291
Wed Jun 26 15:33:12 2013	1372253592	0	291	291	291
Wed Jun 26 15:33:00 2013	1372253580	0	291	291	291
Wed Jun 26 15:32:49 2013	1372253569	0	291	292	291
Wed Jun 26 15:33:13 2013	1372253593	0	292	292	292
Wed Jun 26 15:32:53 2013	1372253573	0	292	292	292
Wed Jun 26 15:33:15 2013	1372253595	0	292	292	292
Wed Jun 26 15:33:00 2013	1372253580	0	292	292	292
Wed Jun 26 15:33:06 2013	1372253586	0	293	293	293
Wed Jun 26 15:33:10 2013	1372253590	0	293	293	293
Wed Jun 26 15:33:00 2013	1372253580	0	293	293	293
Wed Jun 26 15:32:51 2013	1372253571	0	293	293	293
Wed Jun 26 15:32:57 2013	1372253577	0	294	294	294
Wed Jun 26 15:32:47 2013	1372253567	0	294	294	294
Wed Jun 26 15:32:57 2013	1372253577	0	294	294	294
Wed Jun 26 15:32:59 2013	1372253579	0	294	294	294
Wed Jun 26 15:33:04 2013	1372253584	0	295	295	295
Wed Jun 26 15:32:52 2013	1372253572	0	295	295	295
Wed Jun 26 15:33:06 2013	1372253586	0	295	295	295
Wed Jun 26 15:33:03 2013	1372253583	0	295	295	295
Wed Jun 26 15:32:59 2013	1372253579	0	296	296	296
Wed Jun 26 15:32:49 2013	1372253569	0	298	298	298
Wed Jun 26 15:32:58 2013	1372253578	0	298	298	298
Wed Jun 26 15:32:47 2013	1372253567	0	299	299	299
Wed Jun 26 15:32:54 2013	1372253574	0	299	299	299
Wed Jun 26 15:33:13 2013	1372253593	0	299	299	299
Wed Jun 26 15:32:53 2013	1372253573	0	299	300	299
Wed Jun 26 15:33:01 2013	1372253581	0	300	300	300
Wed Jun 26 15:33:08 2013	1372253588	0	300	300	300
Wed Jun 26 15:33:01 2013	1372253581	0	300	300	300
Wed Jun 26 15:32:52 2013	1372253572	0	300	300	300
Wed Jun 26 15:32:56 2013	1372253576	0	301	301	301
Wed Jun 26 15:33:05 2013	1372253585	0	301	301	301
