starttime	seconds	ctime	dtime	ttime	wait
Wed Jun 26 15:21:02 2013	1372252862	0	228	228	227
Wed Jun 26 15:20:01 2013	1372252801	0	228	228	228
Wed Jun 26 15:20:12 2013	1372252812	0	246	246	246
Wed Jun 26 15:21:20 2013	1372252880	0	248	248	248
Wed Jun 26 15:20:18 2013	1372252818	0	285	285	285
Wed Jun 26 15:20:09 2013	1372252809	0	285	285	285
Wed Jun 26 15:20:17 2013	1372252817	0	285	285	285
Wed Jun 26 15:20:11 2013	1372252811	0	286	286	286
Wed Jun 26 15:21:52 2013	1372252912	0	286	286	286
Wed Jun 26 15:21:54 2013	1372252914	0	286	286	286
Wed Jun 26 15:21:48 2013	1372252908	0	286	286	286
Wed Jun 26 15:21:45 2013	1372252905	0	286	286	286
Wed Jun 26 15:20:10 2013	1372252810	0	286	286	286
Wed Jun 26 15:21:47 2013	1372252907	0	287	287	287
Wed Jun 26 15:21:57 2013	1372252917	0	287	287	287
Wed Jun 26 15:21:42 2013	1372252902	0	287	287	287
Wed Jun 26 15:21:53 2013	1372252913	0	287	287	287
Wed Jun 26 15:21:57 2013	1372252917	0	287	287	287
Wed Jun 26 15:20:09 2013	1372252809	0	287	287	287
Wed Jun 26 15:21:37 2013	1372252897	0	287	287	287
Wed Jun 26 15:21:45 2013	1372252905	0	287	287	287
Wed Jun 26 15:21:38 2013	1372252898	0	287	287	287
Wed Jun 26 15:21:56 2013	1372252916	0	287	287	287
Wed Jun 26 15:21:30 2013	1372252890	0	287	287	287
Wed Jun 26 15:21:40 2013	1372252900	0	287	287	287
Wed Jun 26 15:21:48 2013	1372252908	0	287	287	287
Wed Jun 26 15:21:51 2013	1372252911	0	287	287	287
Wed Jun 26 15:21:39 2013	1372252899	0	287	287	287
Wed Jun 26 15:21:41 2013	1372252901	0	287	287	287
Wed Jun 26 15:20:13 2013	1372252813	0	288	288	288
Wed Jun 26 15:21:57 2013	1372252917	0	288	288	288
Wed Jun 26 15:21:55 2013	1372252915	0	288	288	288
Wed Jun 26 15:21:58 2013	1372252918	0	288	288	288
Wed Jun 26 15:20:09 2013	1372252809	0	288	288	288
Wed Jun 26 15:21:45 2013	1372252905	0	288	288	288
Wed Jun 26 15:21:54 2013	1372252914	0	288	288	288
Wed Jun 26 15:21:49 2013	1372252909	0	288	288	288
Wed Jun 26 15:20:11 2013	1372252811	0	288	288	288
Wed Jun 26 15:21:40 2013	1372252900	0	288	288	288
Wed Jun 26 15:21:47 2013	1372252907	0	288	288	288
Wed Jun 26 15:21:56 2013	1372252916	0	288	288	288
Wed Jun 26 15:20:09 2013	1372252809	0	288	288	288
Wed Jun 26 15:21:38 2013	1372252898	0	288	288	288
Wed Jun 26 15:21:50 2013	1372252910	0	288	288	288
Wed Jun 26 15:21:40 2013	1372252900	0	288	288	288
Wed Jun 26 15:21:40 2013	1372252900	0	288	288	288
Wed Jun 26 15:21:33 2013	1372252893	0	289	289	289
Wed Jun 26 15:21:32 2013	1372252892	0	289	289	289
Wed Jun 26 15:21:33 2013	1372252893	0	289	289	289
Wed Jun 26 15:21:58 2013	1372252918	0	289	289	289
Wed Jun 26 15:21:31 2013	1372252891	0	289	289	289
Wed Jun 26 15:21:43 2013	1372252903	0	289	289	289
Wed Jun 26 15:21:54 2013	1372252914	0	289	289	289
Wed Jun 26 15:20:10 2013	1372252810	0	289	289	289
Wed Jun 26 15:21:51 2013	1372252911	0	289	289	289
