starttime	seconds	ctime	dtime	ttime	wait
Wed Jun 26 13:34:56 2013	1372246496	0	599	599	599
Wed Jun 26 13:34:59 2013	1372246499	0	599	599	599
Wed Jun 26 13:34:51 2013	1372246491	0	603	603	603
Wed Jun 26 13:34:58 2013	1372246498	0	606	606	606
Wed Jun 26 13:34:57 2013	1372246497	0	606	606	606
Wed Jun 26 13:34:54 2013	1372246494	0	609	609	609
Wed Jun 26 13:34:53 2013	1372246493	0	610	610	610
Wed Jun 26 13:34:58 2013	1372246498	0	612	612	611
Wed Jun 26 13:34:51 2013	1372246491	0	612	612	612
Wed Jun 26 13:34:57 2013	1372246497	0	619	619	619
Wed Jun 26 13:35:00 2013	1372246500	0	620	620	620
Wed Jun 26 13:34:52 2013	1372246492	0	622	622	622
Wed Jun 26 13:34:54 2013	1372246494	0	623	623	623
Wed Jun 26 13:34:52 2013	1372246492	0	624	624	624
Wed Jun 26 13:34:59 2013	1372246499	0	625	625	624
Wed Jun 26 13:35:00 2013	1372246500	0	627	627	627
Wed Jun 26 13:34:51 2013	1372246491	0	628	628	628
Wed Jun 26 13:34:51 2013	1372246491	0	629	629	629
Wed Jun 26 13:34:59 2013	1372246499	0	630	630	630
Wed Jun 26 13:34:53 2013	1372246493	0	631	631	631
Wed Jun 26 13:34:51 2013	1372246491	0	632	632	632
Wed Jun 26 13:34:51 2013	1372246491	0	632	632	632
Wed Jun 26 13:34:56 2013	1372246496	0	632	632	632
Wed Jun 26 13:34:58 2013	1372246498	0	635	635	635
Wed Jun 26 13:34:56 2013	1372246496	0	636	636	636
Wed Jun 26 13:34:53 2013	1372246493	0	639	639	639
Wed Jun 26 13:34:52 2013	1372246492	0	639	639	639
Wed Jun 26 13:34:57 2013	1372246497	0	641	641	641
Wed Jun 26 13:34:51 2013	1372246491	0	642	642	642
Wed Jun 26 13:34:52 2013	1372246492	0	643	643	643
Wed Jun 26 13:34:57 2013	1372246497	0	647	647	647
Wed Jun 26 13:35:00 2013	1372246500	0	648	648	648
Wed Jun 26 13:34:55 2013	1372246495	0	649	649	649
Wed Jun 26 13:34:53 2013	1372246493	0	652	652	652
Wed Jun 26 13:34:55 2013	1372246495	0	656	656	656
Wed Jun 26 13:35:01 2013	1372246501	0	660	660	660
Wed Jun 26 13:34:54 2013	1372246494	0	669	669	669
Wed Jun 26 13:34:55 2013	1372246495	0	670	670	670
Wed Jun 26 13:35:01 2013	1372246501	0	701	701	701
Wed Jun 26 13:35:01 2013	1372246501	0	708	708	708
Wed Jun 26 13:34:51 2013	1372246491	0	734	734	734
Wed Jun 26 13:35:15 2013	1372246515	0	847	847	847
Wed Jun 26 13:35:03 2013	1372246503	0	847	847	847
Wed Jun 26 13:35:11 2013	1372246511	0	848	848	848
Wed Jun 26 13:35:04 2013	1372246504	0	848	848	848
Wed Jun 26 13:35:12 2013	1372246512	0	854	854	854
Wed Jun 26 13:35:13 2013	1372246513	0	855	855	855
Wed Jun 26 13:35:11 2013	1372246511	0	856	856	856
Wed Jun 26 13:35:04 2013	1372246504	0	856	856	856
Wed Jun 26 13:35:04 2013	1372246504	0	861	861	861
Wed Jun 26 13:35:11 2013	1372246511	0	862	862	862
Wed Jun 26 13:35:04 2013	1372246504	0	862	862	862
Wed Jun 26 13:35:05 2013	1372246505	0	863	863	863
Wed Jun 26 13:35:03 2013	1372246503	0	864	864	864
Wed Jun 26 13:34:58 2013	1372246498	0	865	865	865
Wed Jun 26 13:35:15 2013	1372246515	0	866	866	866
Wed Jun 26 13:35:12 2013	1372246512	0	867	867	867
Wed Jun 26 13:35:15 2013	1372246515	0	867	867	867
Wed Jun 26 13:35:10 2013	1372246510	0	867	867	867
Wed Jun 26 13:35:11 2013	1372246511	0	867	867	867
