starttime	seconds	ctime	dtime	ttime	wait
Wed Jun 26 15:34:01 2013	1372253641	0	229	229	229
Wed Jun 26 15:33:44 2013	1372253624	0	291	291	290
Wed Jun 26 15:34:13 2013	1372253653	0	293	293	293
Wed Jun 26 15:33:58 2013	1372253638	0	293	293	293
Wed Jun 26 15:33:23 2013	1372253603	0	294	294	294
Wed Jun 26 15:34:00 2013	1372253640	0	294	294	294
Wed Jun 26 15:33:32 2013	1372253612	0	297	297	297
Wed Jun 26 15:33:39 2013	1372253619	0	297	297	297
Wed Jun 26 15:33:42 2013	1372253622	0	299	300	299
Wed Jun 26 15:33:47 2013	1372253627	0	300	300	299
Wed Jun 26 15:33:34 2013	1372253614	0	300	300	300
Wed Jun 26 15:33:38 2013	1372253618	0	300	300	300
Wed Jun 26 15:33:58 2013	1372253638	0	300	300	300
Wed Jun 26 15:33:28 2013	1372253608	0	301	301	301
Wed Jun 26 15:34:03 2013	1372253643	0	301	301	301
Wed Jun 26 15:33:35 2013	1372253615	0	301	301	301
Wed Jun 26 15:33:37 2013	1372253617	0	301	301	301
Wed Jun 26 15:33:23 2013	1372253603	0	301	301	301
Wed Jun 26 15:33:43 2013	1372253623	0	302	302	302
Wed Jun 26 15:33:33 2013	1372253613	0	302	302	302
Wed Jun 26 15:33:40 2013	1372253620	0	302	302	302
Wed Jun 26 15:34:16 2013	1372253656	0	302	302	302
Wed Jun 26 15:33:18 2013	1372253598	0	302	302	302
Wed Jun 26 15:33:19 2013	1372253599	0	302	302	302
Wed Jun 26 15:33:22 2013	1372253602	0	302	302	302
Wed Jun 26 15:33:30 2013	1372253610	0	302	302	302
Wed Jun 26 15:34:18 2013	1372253658	0	302	302	302
Wed Jun 26 15:33:35 2013	1372253615	0	302	302	302
Wed Jun 26 15:33:36 2013	1372253616	0	303	303	303
Wed Jun 26 15:33:27 2013	1372253607	0	303	303	303
Wed Jun 26 15:33:16 2013	1372253596	0	303	303	303
Wed Jun 26 15:34:14 2013	1372253654	0	303	303	303
Wed Jun 26 15:33:45 2013	1372253625	0	304	304	303
Wed Jun 26 15:33:39 2013	1372253619	0	304	304	304
Wed Jun 26 15:34:16 2013	1372253656	0	304	304	304
Wed Jun 26 15:33:41 2013	1372253621	0	304	304	304
Wed Jun 26 15:33:40 2013	1372253620	0	305	305	305
Wed Jun 26 15:33:55 2013	1372253635	0	307	307	306
Wed Jun 26 15:34:01 2013	1372253641	0	307	307	307
Wed Jun 26 15:33:27 2013	1372253607	0	307	307	307
Wed Jun 26 15:34:16 2013	1372253656	0	307	307	307
Wed Jun 26 15:33:19 2013	1372253599	0	307	307	307
Wed Jun 26 15:33:48 2013	1372253628	0	308	308	308
Wed Jun 26 15:33:56 2013	1372253636	0	308	308	308
Wed Jun 26 15:34:13 2013	1372253653	0	308	308	308
Wed Jun 26 15:34:02 2013	1372253642	0	308	308	308
Wed Jun 26 15:33:42 2013	1372253622	0	308	308	308
Wed Jun 26 15:34:00 2013	1372253640	0	309	309	309
Wed Jun 26 15:33:30 2013	1372253610	0	309	309	309
Wed Jun 26 15:33:53 2013	1372253633	0	309	309	309
Wed Jun 26 15:33:23 2013	1372253603	0	309	309	309
Wed Jun 26 15:33:25 2013	1372253605	0	309	309	309
Wed Jun 26 15:33:21 2013	1372253601	0	309	309	309
Wed Jun 26 15:33:45 2013	1372253625	0	309	309	309
Wed Jun 26 15:34:17 2013	1372253657	0	309	309	309
Wed Jun 26 15:34:11 2013	1372253651	0	309	309	309
Wed Jun 26 15:33:17 2013	1372253597	0	309	309	309
Wed Jun 26 15:33:22 2013	1372253602	0	309	309	309
Wed Jun 26 15:33:19 2013	1372253599	0	310	310	310
Wed Jun 26 15:34:08 2013	1372253648	0	310	310	310
Wed Jun 26 15:34:15 2013	1372253655	0	310	310	310
Wed Jun 26 15:33:59 2013	1372253639	0	310	310	310
Wed Jun 26 15:34:14 2013	1372253654	0	310	310	310
Wed Jun 26 15:33:24 2013	1372253604	0	310	310	310
Wed Jun 26 15:34:02 2013	1372253642	0	310	310	310
Wed Jun 26 15:33:29 2013	1372253609	0	310	310	310
Wed Jun 26 15:33:59 2013	1372253639	0	311	311	310
Wed Jun 26 15:33:20 2013	1372253600	0	311	311	311
Wed Jun 26 15:34:13 2013	1372253653	0	311	311	311
Wed Jun 26 15:33:33 2013	1372253613	0	311	311	311
Wed Jun 26 15:33:18 2013	1372253598	0	311	311	311
Wed Jun 26 15:33:26 2013	1372253606	0	311	311	311
Wed Jun 26 15:33:45 2013	1372253625	0	311	311	311
Wed Jun 26 15:33:37 2013	1372253617	0	311	311	311
Wed Jun 26 15:33:17 2013	1372253597	0	311	311	311
Wed Jun 26 15:34:06 2013	1372253646	0	311	311	311
Wed Jun 26 15:33:37 2013	1372253617	0	311	311	311
Wed Jun 26 15:33:25 2013	1372253605	0	311	311	311
Wed Jun 26 15:33:18 2013	1372253598	0	311	311	311
Wed Jun 26 15:33:20 2013	1372253600	0	311	311	311
Wed Jun 26 15:34:06 2013	1372253646	0	312	312	312
Wed Jun 26 15:33:24 2013	1372253604	0	312	312	312
Wed Jun 26 15:34:00 2013	1372253640	0	312	312	312
Wed Jun 26 15:33:41 2013	1372253621	0	312	312	312
Wed Jun 26 15:33:32 2013	1372253612	0	312	312	312
Wed Jun 26 15:34:10 2013	1372253650	0	312	312	312
Wed Jun 26 15:34:12 2013	1372253652	0	312	312	312
Wed Jun 26 15:33:43 2013	1372253623	0	312	312	312
Wed Jun 26 15:33:44 2013	1372253624	0	312	312	312
Wed Jun 26 15:33:32 2013	1372253612	0	312	312	312
Wed Jun 26 15:34:17 2013	1372253657	0	312	313	312
Wed Jun 26 15:33:36 2013	1372253616	0	312	313	312
Wed Jun 26 15:33:20 2013	1372253600	0	313	313	313
Wed Jun 26 15:34:06 2013	1372253646	0	313	313	313
Wed Jun 26 15:33:52 2013	1372253632	0	313	313	313
Wed Jun 26 15:33:44 2013	1372253624	0	313	313	313
Wed Jun 26 15:34:15 2013	1372253655	0	313	313	313
Wed Jun 26 15:33:16 2013	1372253596	0	313	313	313
Wed Jun 26 15:33:38 2013	1372253618	0	313	313	313
Wed Jun 26 15:34:10 2013	1372253650	0	313	313	313
Wed Jun 26 15:33:55 2013	1372253635	0	314	314	314
Wed Jun 26 15:33:25 2013	1372253605	0	314	314	314
Wed Jun 26 15:33:31 2013	1372253611	0	314	314	314
Wed Jun 26 15:33:56 2013	1372253636	0	314	314	314
Wed Jun 26 15:33:29 2013	1372253609	0	314	314	314
Wed Jun 26 15:33:26 2013	1372253606	0	315	315	315
Wed Jun 26 15:34:18 2013	1372253658	0	315	315	315
Wed Jun 26 15:33:21 2013	1372253601	0	315	315	315
Wed Jun 26 15:33:39 2013	1372253619	0	315	315	315
Wed Jun 26 15:34:12 2013	1372253652	0	315	315	315
Wed Jun 26 15:33:47 2013	1372253627	0	315	315	315
Wed Jun 26 15:33:34 2013	1372253614	0	316	316	316
Wed Jun 26 15:33:17 2013	1372253597	0	316	316	316
Wed Jun 26 15:34:07 2013	1372253647	0	316	316	316
Wed Jun 26 15:33:57 2013	1372253637	0	316	316	316
Wed Jun 26 15:34:09 2013	1372253649	0	317	317	317
Wed Jun 26 15:34:05 2013	1372253645	0	317	317	317
Wed Jun 26 15:33:49 2013	1372253629	0	317	317	317
Wed Jun 26 15:34:04 2013	1372253644	0	317	317	317
Wed Jun 26 15:34:11 2013	1372253651	0	318	318	317
Wed Jun 26 15:33:31 2013	1372253611	0	318	318	318
Wed Jun 26 15:34:09 2013	1372253649	0	318	318	318
Wed Jun 26 15:33:52 2013	1372253632	0	318	318	318
Wed Jun 26 15:34:03 2013	1372253643	0	319	319	319
Wed Jun 26 15:33:28 2013	1372253608	0	319	319	319
Wed Jun 26 15:33:29 2013	1372253609	0	319	319	319
Wed Jun 26 15:33:51 2013	1372253631	0	319	319	319
Wed Jun 26 15:33:51 2013	1372253631	0	319	319	319
Wed Jun 26 15:33:51 2013	1372253631	0	320	320	320
Wed Jun 26 15:33:30 2013	1372253610	0	320	320	320
Wed Jun 26 15:33:22 2013	1372253602	0	320	320	320
Wed Jun 26 15:33:53 2013	1372253633	0	320	320	320
Wed Jun 26 15:33:57 2013	1372253637	0	321	321	321
Wed Jun 26 15:33:24 2013	1372253604	0	321	321	321
Wed Jun 26 15:34:08 2013	1372253648	0	322	322	322
Wed Jun 26 15:34:12 2013	1372253652	0	322	322	322
Wed Jun 26 15:34:14 2013	1372253654	0	322	322	322
Wed Jun 26 15:33:50 2013	1372253630	0	322	322	322
Wed Jun 26 15:34:11 2013	1372253651	0	322	322	322
Wed Jun 26 15:33:31 2013	1372253611	0	323	323	323
Wed Jun 26 15:33:33 2013	1372253613	0	323	323	323
Wed Jun 26 15:33:34 2013	1372253614	0	323	323	323
Wed Jun 26 15:33:55 2013	1372253635	0	323	323	323
Wed Jun 26 15:33:49 2013	1372253629	0	324	324	324
Wed Jun 26 15:33:48 2013	1372253628	0	324	324	324
Wed Jun 26 15:34:05 2013	1372253645	0	325	325	325
Wed Jun 26 15:33:41 2013	1372253621	0	325	325	325
Wed Jun 26 15:33:49 2013	1372253629	0	325	325	325
Wed Jun 26 15:33:18 2013	1372253598	0	325	325	325
Wed Jun 26 15:34:10 2013	1372253650	0	325	325	325
Wed Jun 26 15:34:07 2013	1372253647	0	326	326	325
Wed Jun 26 15:33:46 2013	1372253626	0	326	326	326
Wed Jun 26 15:33:54 2013	1372253634	0	326	326	326
Wed Jun 26 15:33:42 2013	1372253622	0	326	326	326
Wed Jun 26 15:33:53 2013	1372253633	0	326	327	326
Wed Jun 26 15:33:21 2013	1372253601	0	327	327	327
Wed Jun 26 15:34:08 2013	1372253648	0	327	327	327
Wed Jun 26 15:33:50 2013	1372253630	0	327	327	327
Wed Jun 26 15:33:48 2013	1372253628	0	327	327	327
