starttime	seconds	ctime	dtime	ttime	wait
Wed Jun 26 15:35:48 2013	1372253748	0	307	307	307
Wed Jun 26 15:34:51 2013	1372253691	0	307	307	307
Wed Jun 26 15:35:39 2013	1372253739	0	307	307	307
Wed Jun 26 15:34:36 2013	1372253676	0	307	307	307
Wed Jun 26 15:35:08 2013	1372253708	0	308	308	307
Wed Jun 26 15:34:45 2013	1372253685	0	308	308	308
Wed Jun 26 15:34:35 2013	1372253675	0	308	308	308
Wed Jun 26 15:34:40 2013	1372253680	0	308	308	308
Wed Jun 26 15:34:53 2013	1372253693	0	308	308	308
Wed Jun 26 15:34:46 2013	1372253686	0	308	308	308
Wed Jun 26 15:35:51 2013	1372253751	0	308	308	308
Wed Jun 26 15:35:30 2013	1372253730	0	308	309	308
Wed Jun 26 15:35:48 2013	1372253748	0	309	309	309
Wed Jun 26 15:34:28 2013	1372253668	0	309	309	309
Wed Jun 26 15:35:38 2013	1372253738	0	309	309	309
Wed Jun 26 15:35:12 2013	1372253712	0	309	309	309
Wed Jun 26 15:34:43 2013	1372253683	0	309	309	309
Wed Jun 26 15:35:32 2013	1372253732	0	309	309	309
Wed Jun 26 15:34:40 2013	1372253680	0	309	309	309
Wed Jun 26 15:35:45 2013	1372253745	0	309	309	309
Wed Jun 26 15:34:35 2013	1372253675	0	309	309	309
Wed Jun 26 15:35:36 2013	1372253736	0	309	309	309
Wed Jun 26 15:35:48 2013	1372253748	0	309	309	309
Wed Jun 26 15:35:29 2013	1372253729	0	309	309	309
Wed Jun 26 15:34:34 2013	1372253674	0	309	309	309
Wed Jun 26 15:35:16 2013	1372253716	0	309	309	309
Wed Jun 26 15:34:31 2013	1372253671	0	309	309	309
Wed Jun 26 15:35:34 2013	1372253734	0	309	309	309
Wed Jun 26 15:35:11 2013	1372253711	0	309	309	309
Wed Jun 26 15:34:19 2013	1372253659	0	309	309	309
Wed Jun 26 15:34:45 2013	1372253685	0	309	309	309
Wed Jun 26 15:35:49 2013	1372253749	0	309	309	309
Wed Jun 26 15:35:42 2013	1372253742	0	310	310	309
Wed Jun 26 15:34:19 2013	1372253659	0	310	310	310
Wed Jun 26 15:35:44 2013	1372253744	0	310	310	310
Wed Jun 26 15:35:34 2013	1372253734	0	310	310	310
